Ticker,Current Price (₹),Prev Close (₹),Gain %,Volume,10D Avg Volume,Vol Surge (x),Scan Time (IST)
INOXWIND,97.9,95.4,2.62,47572301,16395779,2.9,17-Apr-2026  03:56 PM IST
RECLTD,373.3,364.2,2.5,14945709,8495642,1.76,17-Apr-2026  03:56 PM IST
CGPOWER,774.8,755.9,2.5,4135259,2646900,1.56,17-Apr-2026  03:56 PM IST
RCF,131.77,128.71,2.38,4759398,2810500,1.69,17-Apr-2026  03:56 PM IST
UBL,1493.6,1459.2,2.36,344259,184294,1.87,17-Apr-2026  03:56 PM IST
KFINTECH,976.0,955.9,2.1,2069532,1159631,1.78,17-Apr-2026  03:56 PM IST
NIVABUPA,80.11,78.5,2.05,1143278,653906,1.75,17-Apr-2026  03:56 PM IST
JKTYRE,428.4,419.95,2.01,2567078,1303564,1.97,17-Apr-2026  03:56 PM IST
IGL,169.27,166.05,1.94,8476667,3998690,2.12,17-Apr-2026  03:56 PM IST
APARINDS,11482.0,11266.5,1.91,204208,128132,1.59,17-Apr-2026  03:56 PM IST
BEML,1772.4,1740.0,1.86,661351,338891,1.95,17-Apr-2026  03:56 PM IST
HUDCO,196.91,193.67,1.67,6501498,4011032,1.62,17-Apr-2026  03:56 PM IST
ASTRAL,1605.0,1578.7,1.67,1631244,1034024,1.58,17-Apr-2026  03:56 PM IST
AWL,185.01,182.09,1.6,5809151,3084475,1.88,17-Apr-2026  03:56 PM IST
CAMS,750.15,738.4,1.59,2270228,1276376,1.78,17-Apr-2026  03:56 PM IST
IRFC,104.84,103.24,1.55,32757379,18896754,1.73,17-Apr-2026  03:56 PM IST
AFFLE,1468.2,1446.8,1.48,580398,274291,2.12,17-Apr-2026  03:56 PM IST
RRKABEL,1475.6,1455.0,1.42,513935,176819,2.91,17-Apr-2026  03:56 PM IST
GODREJAGRO,615.75,607.7,1.32,186504,104687,1.78,17-Apr-2026  03:56 PM IST
SUPREMEIND,3709.0,3663.8,1.23,1176984,306111,3.84,17-Apr-2026  03:56 PM IST
VMM,118.95,117.55,1.19,30756521,15621166,1.97,17-Apr-2026  03:56 PM IST
ITC,306.8,303.4,1.12,35106870,19117920,1.84,17-Apr-2026  03:56 PM IST
JIOFIN,243.86,241.27,1.07,51439276,18508488,2.78,17-Apr-2026  03:56 PM IST
HEG,633.0,626.85,0.98,3715158,2338473,1.59,17-Apr-2026  03:56 PM IST
RAMCOCEM,1011.05,1001.9,0.91,539467,170515,3.16,17-Apr-2026  03:56 PM IST
PIIND,3139.7,3112.2,0.88,467006,299595,1.56,17-Apr-2026  03:56 PM IST
WAAREEENER,3466.2,3438.8,0.8,3721431,1768444,2.1,17-Apr-2026  03:56 PM IST
ICICIPRULI,562.0,557.95,0.73,3333588,2095563,1.59,17-Apr-2026  03:56 PM IST
DELHIVERY,463.0,459.75,0.71,4967396,3144990,1.58,17-Apr-2026  03:56 PM IST
KAJARIACER,1178.35,1170.2,0.7,679167,414357,1.64,17-Apr-2026  03:56 PM IST
CESC,171.49,170.48,0.59,4017728,2239272,1.79,17-Apr-2026  03:56 PM IST
NCC,161.26,160.36,0.56,4673693,2776933,1.68,17-Apr-2026  03:56 PM IST
NUVOCO,311.4,310.3,0.35,813747,517266,1.57,17-Apr-2026  03:56 PM IST
DEEPAKNTR,1538.1,1533.7,0.29,385730,185135,2.08,17-Apr-2026  03:56 PM IST
RKFORGE,535.15,534.25,0.17,489689,283243,1.73,17-Apr-2026  03:56 PM IST
ASAHIINDIA,851.25,849.9,0.16,267905,163337,1.64,17-Apr-2026  03:56 PM IST
