Ticker,Current Price (₹),Prev Close (₹),Gain %,Volume,10D Avg Volume,Vol Surge (x),Scan Time (IST)
NAVA,693.55,626.5,10.7,25327333,370165,68.42,17-Apr-2026  03:24 PM IST
MMTC,68.33,61.91,10.37,96602293,3275632,29.49,17-Apr-2026  03:24 PM IST
ANGELONE,322.02,292.61,10.05,79836075,12909552,6.18,17-Apr-2026  03:24 PM IST
GSPL,273.57,252.29,8.43,31264250,1034659,30.22,17-Apr-2026  03:24 PM IST
IRCON,154.26,142.37,8.35,40926398,4816802,8.5,17-Apr-2026  03:24 PM IST
TRITURBINE,517.35,477.8,8.28,6105638,852896,7.16,17-Apr-2026  03:24 PM IST
GUJGASLTD,363.15,335.5,8.24,6612263,1207475,5.48,17-Apr-2026  03:24 PM IST
AEGISLOG,708.75,659.55,7.46,6874942,1403655,4.9,17-Apr-2026  03:24 PM IST
CHENNPETRO,1047.3,980.8,6.78,3599830,2068804,1.74,17-Apr-2026  03:24 PM IST
ZENTEC,1627.5,1524.3,6.77,1143921,669940,1.71,17-Apr-2026  03:24 PM IST
JINDALSAW,236.18,221.42,6.67,8139003,2988631,2.72,17-Apr-2026  03:24 PM IST
SCI,307.98,288.93,6.59,99163855,7649926,12.96,17-Apr-2026  03:24 PM IST
COLPAL,2106.4,1977.4,6.52,2072604,394810,5.25,17-Apr-2026  03:24 PM IST
EMAMILTD,451.7,425.5,6.16,1306591,549204,2.38,17-Apr-2026  03:24 PM IST
CARBORUNIV,940.35,886.7,6.05,835726,295223,2.83,17-Apr-2026  03:24 PM IST
ATGL,632.15,597.6,5.78,8720888,4201513,2.08,17-Apr-2026  03:24 PM IST
ACMESOLAR,304.0,287.45,5.76,3637796,2346113,1.55,17-Apr-2026  03:24 PM IST
ENGINERSIN,241.46,228.32,5.76,24602158,4996789,4.92,17-Apr-2026  03:24 PM IST
SUZLON,53.04,50.25,5.55,310998919,98440470,3.16,17-Apr-2026  03:24 PM IST
MINDACORP,533.15,505.65,5.44,815014,443943,1.84,17-Apr-2026  03:24 PM IST
NAM-INDIA,1016.0,964.85,5.3,2223883,1479214,1.5,17-Apr-2026  03:24 PM IST
WHIRLPOOL,892.9,848.65,5.21,608658,216880,2.81,17-Apr-2026  03:24 PM IST
CRISIL,4338.1,4126.3,5.13,438780,87123,5.04,17-Apr-2026  03:24 PM IST
ECLERX,1629.9,1551.3,5.07,600284,325190,1.85,17-Apr-2026  03:24 PM IST
COHANCE,381.15,362.95,5.01,13425135,6531241,2.06,17-Apr-2026  03:24 PM IST
APLLTD,784.95,748.3,4.9,235086,76863,3.06,17-Apr-2026  03:24 PM IST
MRPL,183.49,174.93,4.89,10562981,6038794,1.75,17-Apr-2026  03:24 PM IST
RADICO,3185.0,3036.4,4.89,1152384,448552,2.57,17-Apr-2026  03:24 PM IST
HINDUNILVR,2241.2,2139.1,4.77,4823883,2166979,2.23,17-Apr-2026  03:24 PM IST
TTML,45.84,43.77,4.73,19613181,11942486,1.64,17-Apr-2026  03:24 PM IST
PIDILITIND,1393.7,1331.0,4.71,1689916,1123910,1.5,17-Apr-2026  03:24 PM IST
CONCORDBIO,1084.8,1037.4,4.57,758557,311741,2.43,17-Apr-2026  03:24 PM IST
LLOYDSME,1626.8,1556.7,4.5,1529037,722116,2.12,17-Apr-2026  03:24 PM IST
MOTILALOFS,817.75,782.8,4.46,2005209,1217613,1.65,17-Apr-2026  03:24 PM IST
PREMIERENE,1046.7,1003.1,4.35,6724017,2239317,3.0,17-Apr-2026  03:24 PM IST
360ONE,1121.9,1076.45,4.22,2576916,1508698,1.71,17-Apr-2026  03:24 PM IST
FACT,908.0,871.9,4.14,4174246,785837,5.31,17-Apr-2026  03:24 PM IST
SUMICHEM,440.65,423.4,4.07,279005,158880,1.76,17-Apr-2026  03:24 PM IST
SIEMENS,3706.9,3563.8,4.02,1019438,588852,1.73,17-Apr-2026  03:24 PM IST
MAPMYINDIA,957.9,921.95,3.9,297140,133440,2.23,17-Apr-2026  03:24 PM IST
GODFRYPHLP,2204.9,2124.9,3.76,3471195,879150,3.95,17-Apr-2026  03:24 PM IST
UNITDSPR,1301.5,1254.5,3.75,2777067,1463284,1.9,17-Apr-2026  03:24 PM IST
POLYCAB,8196.5,7903.5,3.71,658436,438431,1.5,17-Apr-2026  03:24 PM IST
DABUR,443.4,427.55,3.71,4801929,2157458,2.23,17-Apr-2026  03:24 PM IST
PNBHOUSING,924.95,893.8,3.49,2095550,995291,2.11,17-Apr-2026  03:24 PM IST
