Ticker,Current Price (₹),Prev Close (₹),Gain %,Volume,10D Avg Volume,Vol Surge (x),Scan Time (IST)
JINDALSTEL,1268.9,1228.3,3.31,2764465,1813530,1.52,17-Apr-2026  03:24 PM IST
GLAND,1792.3,1735.6,3.27,139072,88507,1.57,17-Apr-2026  03:24 PM IST
POLICYBZR,1599.9,1550.5,3.19,3673560,1490711,2.46,17-Apr-2026  03:24 PM IST
REDINGTON,235.0,227.78,3.17,11752385,5345070,2.2,17-Apr-2026  03:24 PM IST
NTPCGREEN,112.2,108.79,3.13,31597769,18243743,1.73,17-Apr-2026  03:24 PM IST
ADANIENSOL,1260.0,1222.6,3.06,4837010,3045132,1.59,17-Apr-2026  03:24 PM IST
INOXWIND,98.3,95.4,3.04,44770029,16395779,2.73,17-Apr-2026  03:24 PM IST
KPRMILL,920.6,893.85,2.99,723102,320681,2.25,17-Apr-2026  03:24 PM IST
TORNTPOWER,1566.0,1521.6,2.92,901320,535103,1.68,17-Apr-2026  03:24 PM IST
IREDA,133.11,129.43,2.84,16641286,10164320,1.64,17-Apr-2026  03:24 PM IST
KSB,968.7,941.95,2.84,748183,390914,1.91,17-Apr-2026  03:24 PM IST
BIKAJI,660.05,641.8,2.84,217188,109024,1.99,17-Apr-2026  03:24 PM IST
FINCABLES,939.3,913.55,2.82,668020,419095,1.59,17-Apr-2026  03:24 PM IST
RVNL,302.16,293.89,2.81,38108275,8571095,4.45,17-Apr-2026  03:24 PM IST
VBL,473.05,460.4,2.75,11776729,5633516,2.09,17-Apr-2026  03:24 PM IST
NHPC,83.55,81.38,2.67,41094265,15731217,2.61,17-Apr-2026  03:24 PM IST
CGPOWER,775.3,755.9,2.57,3984707,2646900,1.51,17-Apr-2026  03:24 PM IST
BEML,1783.5,1740.0,2.5,648822,338891,1.91,17-Apr-2026  03:24 PM IST
PAGEIND,37885.0,36980.0,2.45,64066,34695,1.85,17-Apr-2026  03:24 PM IST
UBL,1495.0,1459.2,2.45,336102,184294,1.82,17-Apr-2026  03:24 PM IST
RECLTD,373.05,364.2,2.43,14598660,8495642,1.72,17-Apr-2026  03:24 PM IST
RCF,131.75,128.71,2.36,4670593,2810500,1.66,17-Apr-2026  03:24 PM IST
KFINTECH,977.95,955.9,2.31,1999884,1159631,1.72,17-Apr-2026  03:24 PM IST
NIVABUPA,80.15,78.5,2.1,1105769,653906,1.69,17-Apr-2026  03:24 PM IST
JKTYRE,428.35,419.95,2.0,2494698,1303564,1.91,17-Apr-2026  03:24 PM IST
APARINDS,11490.0,11266.5,1.98,200072,128132,1.56,17-Apr-2026  03:24 PM IST
IGL,169.09,166.05,1.83,8408325,3998690,2.1,17-Apr-2026  03:24 PM IST
AWL,185.19,182.09,1.7,5592057,3084475,1.81,17-Apr-2026  03:24 PM IST
CAMS,750.7,738.4,1.67,2217100,1276376,1.74,17-Apr-2026  03:24 PM IST
SUPREMEIND,3722.2,3663.8,1.59,1095723,306111,3.58,17-Apr-2026  03:24 PM IST
IRFC,104.87,103.24,1.58,32020776,18896754,1.69,17-Apr-2026  03:24 PM IST
HUDCO,196.67,193.67,1.55,6092226,4011032,1.52,17-Apr-2026  03:24 PM IST
AFFLE,1468.5,1446.8,1.5,571245,274291,2.08,17-Apr-2026  03:24 PM IST
RRKABEL,1474.6,1455.0,1.35,501664,176819,2.84,17-Apr-2026  03:24 PM IST
VMM,119.0,117.55,1.23,28701644,15621166,1.84,17-Apr-2026  03:24 PM IST
JIOFIN,244.06,241.27,1.16,50157535,18508488,2.71,17-Apr-2026  03:24 PM IST
ITC,306.85,303.4,1.14,34480284,19117920,1.8,17-Apr-2026  03:24 PM IST
WAAREEENER,3473.5,3438.8,1.01,3088362,1768444,1.75,17-Apr-2026  03:24 PM IST
HEG,633.0,626.85,0.98,3666560,2338473,1.57,17-Apr-2026  03:24 PM IST
RAMCOCEM,1011.65,1001.9,0.97,530107,170515,3.11,17-Apr-2026  03:24 PM IST
DELHIVERY,463.8,459.75,0.88,4874154,3144990,1.55,17-Apr-2026  03:24 PM IST
KAJARIACER,1180.05,1170.2,0.84,671231,414357,1.62,17-Apr-2026  03:24 PM IST
NCC,161.6,160.36,0.77,4556390,2776933,1.64,17-Apr-2026  03:24 PM IST
GODREJAGRO,612.0,607.7,0.71,165893,104687,1.58,17-Apr-2026  03:24 PM IST
ICICIPRULI,561.75,557.95,0.68,3204625,2095563,1.53,17-Apr-2026  03:24 PM IST
CESC,171.59,170.48,0.65,3948786,2239272,1.76,17-Apr-2026  03:24 PM IST
NUVOCO,311.15,310.3,0.27,800207,517266,1.55,17-Apr-2026  03:24 PM IST
DEEPAKNTR,1536.8,1533.7,0.2,375197,185135,2.03,17-Apr-2026  03:24 PM IST
RKFORGE,535.15,534.25,0.17,480272,283243,1.7,17-Apr-2026  03:24 PM IST
ASAHIINDIA,850.7,849.9,0.09,257010,163337,1.57,17-Apr-2026  03:24 PM IST
